order_id,order_date,ship_mode,customer_id,customer_name,country/region,city,state,postal_code,region,product_id,sales,quantity,discount,profit
CA-2019-121755,2019-01-16,Second Class,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,90.57000000000001,3,0.0,11.774100000000004
CA-2019-118255,2019-03-11,First Class,ON-18715,Odella Nelson,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,45.98,2,0.0,19.7714
CA-2019-169194,2019-06-20,Standard Class,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,45.0,3,0.0,4.950000000000001
CA-2019-111682,2019-06-17,First Class,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,East,TEC-AC-10002167,30.0,2,0.0,3.3000000000000007
CA-2018-135545,2018-11-24,Standard Class,KM-16720,Kunst Miller,United States,Los Angeles,California,90004.0,West,TEC-AC-10004633,13.98,2,0.0,6.151200000000001
CA-2020-155558,2020-10-26,Standard Class,PG-18895,Paul Gonzalez,United States,Rochester,Minnesota,55901.0,Central,TEC-AC-10001998,19.99,1,0.0,6.796599999999998
CA-2019-158568,2019-08-29,Standard Class,RB-19465,Rick Bensley,United States,Chicago,Illinois,60610.0,Central,TEC-AC-10001767,95.97600000000001,3,0.2,-10.79730000000001
US-2018-156867,2018-11-13,Standard Class,LC-16870,Lena Cacioppo,United States,Aurora,Colorado,80013.0,West,TEC-AC-10001552,238.89600000000002,6,0.2,-26.875800000000012
CA-2020-119004,2020-11-23,Standard Class,JM-15250,Janet Martin,United States,Charlotte,North Carolina,28205.0,South,TEC-AC-10003499,74.11200000000001,8,0.2,17.6016
CA-2018-129476,2018-10-15,Standard Class,PA-19060,Pete Armstrong,United States,Orland Park,Illinois,60462.0,Central,TEC-AC-10000844,339.96000000000004,5,0.2,67.99199999999996
CA-2018-119697,2018-12-28,Second Class,EM-13960,Eric Murdock,United States,Philadelphia,Pennsylvania,19134.0,East,TEC-AC-10003657,54.38400000000001,2,0.2,1.359599999999995
CA-2017-166191,2017-12-05,Second Class,DK-13150,David Kendrick,United States,Decatur,Illinois,62521.0,Central,TEC-AC-10004659,408.74399999999997,7,0.2,76.63949999999998
CA-2017-158274,2017-11-19,Second Class,RM-19675,Robert Marley,United States,Monroe,Louisiana,71203.0,South,TEC-AC-10002345,29.0,2,0.0,7.25
CA-2017-123260,2017-08-26,Standard Class,FM-14290,Frank Merwin,United States,Los Angeles,California,90032.0,West,TEC-AC-10002323,176.8,8,0.0,22.98400000000001
CA-2018-101007,2018-02-09,Second Class,MS-17980,Michael Stewart,United States,Dallas,Texas,75220.0,Central,TEC-AC-10001266,20.8,2,0.2,6.499999999999999
CA-2018-146262,2018-01-02,Standard Class,VW-21775,Victoria Wilson,United States,Medina,Ohio,44256.0,East,TEC-AC-10000109,89.584,2,0.2,4.479200000000006
US-2020-100930,2020-04-07,Standard Class,CS-12400,Christopher Schild,United States,Tampa,Florida,33614.0,South,TEC-AC-10003832,617.9760000000001,3,0.2,-7.724700000000098
